NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,400,0.25,3.625,6.5,5,8,0.625,1.00,3.31,2.38,2.88,1.88,2.067,3.38,2.75,0.175,2.19,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,400,0.25,4.125,7.5,5.88,8,0.75,1.12,3.94,2.88,3.12,2,2.469,3.88,3.25,0.175,2.59,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,400,0.25,5,8.25,6.62,8,0.75,1.25,4.62,3.5,3.25,2,3.068,4.75,4,0.175,3.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,400,0.25,5.5,9,7.25,8,0.875,1.38,5.25,4,3.38,2,3.548,,,,3.67,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,400,0.25,6.188,10,7.88,8,0.875,1.38,5.75,4.5,3.5,2.12,4.026,5.88,4.75,0.175,4.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,400,0.25,7.312,11,9.25,8,0.875,1.5,7,5.56,4,2.5,5.047,7,5.81,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,400,0.25,8.5,12.5,10.62,12,0.875,1.62,8.12,6.63,4.06,2.44,6.065,8.25,6.88,0.175,6.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,400,0.25,10.625,15,13,12,1,1.88,10.25,8.63,4.62,2.74,7.981,10.38,8.88,0.175,8.11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,400,0.25,12.75,17.5,15.25,16,1.125,2.12,12.62,10.75,4.88,2.76,10.020,12.5,10.81,0.175,10.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
12,400,0.25,15,20.5,17.75,16,1.25,2.25,14.75,12.75,5.38,3.13,12.000,14.75,12.88,0.175,12.13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,400,0.25,16.25,23,20.25,20,1.25,2.38,16.75,14,5.88,3.5,13.250,16,14.25,0.175,13.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
16,400,0.25,18.5,25.5,22.5,20,1.375,2.5,19,16,6,3.5,15.250,18.25,16.25,0.175,15.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,400,0.25,21,28,24.75,24,1.375,2.62,21,18,6.5,3.88,17.250,20.75,18.5,0.175,17.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,400,0.25,23,30.5,27,24,1.5,2.75,23.12,20,6.62,3.87,19.250,22.75,20.5,0.175,19.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
22,400,0.25,25.25,33,29.25,24,1.625,2.875,25.25,22,6.75,3.875,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,400,0.25,27.25,36,32,24,1.75,3,27.62,24,6.88,3.88,23.250,27,24.75,0.175,23.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,400,0.25,29.5,38.25,34.5,28,1.75,3.5,28.62,26,7.62,4.12,25.250,29,27,0.175,25.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
28,400,0.25,31.5,40.75,37,28,1.875,3.75,30.81,28,8.12,4.37,27.250,31,29,0.175,27.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
30,400,0.25,33.75,43,39.25,28,2,4,32.94,30,8.62,4.62,29.250,33.25,31.25,0.175,29.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
32,400,0.25,36,45.25,41.5,28,2,4.25,35,32,9.12,4.87,31.250,35.5,33.5,0.175,31.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
34,400,0.25,38,47.5,43.5,28,2,4.38,37.19,34,9.5,5.12,33.250,37.5,35.5,0.175,33.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
36,400,0.25,40.25,50,46,32,2,4.5,39.38,36,9.88,5.38,35.250,39.63,37.63,0.175,35.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
38,400,0.25,40.75,47.5,44,32,1.75,4.88,39.5,38,8.12,3.24,37.250,40.25,38.25,0.175,37.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
40,400,0.25,43,50,46.25,32,1.875,5.12,41.5,40,8.5,3.38,39.250,42.38,40.38,0.175,39.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
42,400,0.25,45,52,48.25,32,1.875,5.25,43.62,42,8.81,3.56,41.250,44.38,42.38,0.175,41.38,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,
44,400,0.25,47.25,54.5,50.5,32,2,5.5,45.62,44,9.18,3.68,43.250,46.5,44.5,0.175,43.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
46,400,0.25,49.5,56.75,52.75,36,2,5.75,47.75,46,9.62,3.87,45.250,49,47,0.175,45.38,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,
48,400,0.25,51.5,59.5,55.25,28,2.25,6,49.88,48,10.12,4.12,47.250,51,49,0.175,47.38,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
