NPS,Class,Raised Face,Raised Face OD ,Flange OD ,Bolt Circle Diameter ,Numbe Bolt Holes,Bolt Diameter ,Flange Thickness,Hub Diameter,Pipe OD ,Length Thru Hub ,Hub Length ,Pipe I.D.,Gasket O.D.,Gasket I.D.,Gasket thk,Corr. I.D.,Stiffness Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,
2,900,0.25,3.625,8.5,6.5,8,0.875,1.50,4.12,2.38,4.00,2.5,2.067,3.38,2.31,0.175,2.19,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,900,0.25,4.125,9.62,7.5,8,1,1.62,4.88,2.88,4.12,2.5,2.469,3.88,2.75,0.175,2.59,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,900,0.25,5,9.5,7.5,8,0.875,1.5,5,3.5,4,2.5,3.068,4.75,3.75,0.175,3.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,900,0.25,5.5,,,8,,,,4,,0,3.548,,,,3.67,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,900,0.25,6.188,11.5,9.25,8,1.125,1.75,6.25,4.5,4.5,2.75,4.026,5.88,4.75,0.175,4.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,900,0.25,7.312,13.75,11,8,1.25,2,7.5,5.56,5,3,5.047,7,5.81,0.175,5.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,900,0.25,8.5,15,12.5,12,1.125,2.19,9.25,6.63,5.5,3.31,6.065,8.25,6.88,0.175,6.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,900,0.25,10.625,18.5,15.5,12,1.375,2.5,11.75,8.63,6.38,3.88,7.981,10.13,8.75,0.175,8.11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,900,0.25,12.75,21.5,18.5,16,1.375,2.75,14.5,10.75,7.25,4.5,10.020,12.25,10.88,0.175,10.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
12,900,0.25,15,24,21,20,1.375,3.12,16.5,12.75,7.88,4.76,12.000,14.5,12.75,0.175,12.13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,900,0.25,16.25,25.25,22,20,1.5,3.38,17.75,14,8.38,5,13.250,15.75,14,0.175,13.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
16,900,0.25,18.5,27.75,24.25,20,1.625,3.5,20,16,8.5,5,15.250,18,16.25,0.175,15.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,900,0.25,21,31,27,20,1.875,4,22.25,18,9,5,17.250,20.5,18.25,0.175,17.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,900,0.25,23,33.75,29.5,20,2,4.25,24.5,20,9.75,5.5,19.250,22.5,20.5,0.175,19.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
22,900,0.25,25.25,,,,,,,22,,0,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,900,0.25,27.25,41,35.5,20,2.5,5.5,29.5,24,11.5,6,23.250,26.75,24.75,0.175,23.38,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
26,900,0.25,29.5,42.75,37.5,20,2.75,5.5,30.5,26,11.25,5.75,25.250,29,27,0.175,25.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
28,900,0.25,31.5,46,40.25,20,3,5.62,32.75,28,11.75,6.13,27.250,31,29,0.175,27.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
30,900,0.25,33.75,48.5,42.75,20,3,5.88,35,30,12.25,6.37,29.250,33.25,31.25,0.175,29.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
32,900,0.25,36,51.75,45.5,20,3.25,6.25,37.25,32,13,6.75,31.250,35.5,33.5,0.175,31.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
34,900,0.25,38,55,48.25,20,3.5,6.5,39.62,34,13.75,7.25,33.250,37.5,35.5,0.175,33.38,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,
36,900,0.25,40.25,57.5,50.75,20,3.5,6.75,41.88,36,14.25,7.5,35.250,39.75,37.75,0.175,35.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
38,900,0.25,43.25,57.5,50.75,20,3.5,7.5,42.25,38,13.88,6.38,37.250,42.75,40.75,0.175,37.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
40,900,0.25,45.75,59.5,52.75,24,3.5,7.75,44.38,40,14.31,6.56,39.250,45.25,43.25,0.175,39.38,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
42,900,0.25,47.75,61.5,54.75,24,3.5,8.12,46.31,42,14.62,6.5,41.250,47.25,45.25,0.175,41.38,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,
44,900,0.25,50,64.88,57.62,24,3.75,8.44,48.62,44,15.38,6.94,43.250,49.5,47.5,0.175,43.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
46,900,0.25,52.5,68.25,60.5,24,4,8.88,50.88,46,16.18,7.3,45.250,52,50,0.175,45.38,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,
48,900,0.25,54.5,70.25,62.5,24,4,9.19,52.88,48,16.5,7.31,47.250,54,52,0.175,47.38,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
